"algorithm","TP","TN","FP","FN","total","accuracy"
"conclusion_10_125",53,11,16,29,109,0.5872
"conclusion_10_60",74,4,23,8,109,0.7156
"conclusion_10_75",74,5,22,8,109,0.7248
"conclusion_10_150",46,15,12,36,109,0.5596
"conclusion_40_60",77,1,26,5,109,0.7156
"conclusion_40_75",75,0,27,7,109,0.6881
"conclusion_40_100",71,5,22,11,109,0.6972
"conclusion_40_125",69,6,21,13,109,0.6881
"conclusion_40_150",58,10,17,24,109,0.6239
"conclusion_30_75",75,1,26,7,109,0.6972
"conclusion_30_100",70,6,21,12,109,0.6972
"conclusion_30_125",65,8,19,17,109,0.6697
"conclusion_30_150",52,9,18,30,109,0.5596
